fips,hsa,proportion
01091,1075,0.01773207634594479
01091,1080,0.33872993719469646
01093,1047,0.2191389169189371
01093,1048,0.8747462596797233
01093,1073,0.1123164656528579
01093,1088,0.8637649277184161
01095,1012,0.6698517253530671
01095,1046,0.9012701887042749
01095,1051,0.044259255281828794
01097,1057,0.7630403179802366
01099,1058,0.8993687027049626
01101,1059,0.6977990554202642
01103,1022,0.04856422354185309
01103,1024,0.9545621206154348
01103,1049,1
01103,1051,0.022294293262312335
01103,1060,0.17328314558058924
01105,1075,0.16905173489209274
01107,1017,1
01107,1082,0.02095279624986373
01107,25021,0.035098464147743334
01109,1081,1
01111,1004,0.033554576149954246
01111,1006,0.13376794850635418
01111,1072,1
01111,1086,1
01113,1068,0.6172460844111164
01113,11032,0.019989562770857443
01115,1011,0.10108624652805356
01115,1039,0.020914481865551227
01117,1001,0.6626740722852773
01117,1011,0.15285099703988042
01119,1082,0.011237326937752099
01119,25056,0.06181660519454294
01121,1004,0.035490012517224334
01121,1011,0.019020872577343053
01121,1077,0.751645740342314
01121,1078,0.9529809853286533
01123,1002,0.8422187981510015
01123,1023,1
01123,1064,0.046401416199005466
01123,1079,0.47311423629390087
01125,1010,0.09104473727585818
01125,1082,0.8534525237108906
01127,1011,0.013771609643564615
01127,1054,0.8770858905881963
01129,1057,0.030625839574554222
01131,1016,1
01131,1075,0.026892164026161496
01131,1080,0.21193300767620377
01133,1022,0.029470895166819677
01133,1047,0.780861083081063
01133,1054,0.12291410941180374
02013,2001,0.01094266681576383
02016,2001,0.015275004393041422
02016,23064,0.06419769444812508
02020,2001,0.943903257240531
02020,2014,0.13532477947072974
02050,2001,0.0012044920845380917
02050,2017,0.6829975638993079
02060,2001,0.0028434959024904553
02068,2003,0.01971766285623421
02070,2018,1
02090,2003,0.880342408876482
02100,2005,0.06972751439964554
02105,2005,0.0401528577758086
02105,2012,0.060056357872490314
02110,2005,0.8416592822330528
02110,2012,0.1704825642831983
02122,2001,0.005357913065703925
02122,2004,1
02122,2011,1
02122,2013,0.9849586559915999
02130,2006,0.680737745339777
02150,2007,1
02158,2017,0.3170024361006922
02164,2001,0.002562341251457691
02164,2013,0.015041344008400053
02170,2009,1
02180,2001,0.0061885972619370915
02180,2008,1
02185,2016,1
02185,2019,0.11162079510703364
02188,2001,0.0024345436828064346
02188,2019,0.8883792048929664
02195,2010,1
02198,2006,0.3192622546602229
02220,2012,0.7694610778443114
02230,2005,0.02938081524147098
02240,2003,0.060743122670011834
02261,2001,0.006163037748206841
02261,2002,1
02261,2014,0.8646752205292703
02275,2015,1
02282,2005,0.019079530350022154
02290,2001,0.003124650553523219
02290,2003,0.03919680559727204
04001,3010,1
